Attack,Epsilon,Acc_MLP,Acc_RF,Acc_XGB,ASR_MLP,ASR_RF,ASR_XGB,Mask
FGSM,0.01,89.26,82.54,86.67,10.74,17.46,13.33,✅ Protected
FGSM,0.05,68.35,82.07,83.76,31.65,17.93,16.24,✅ Protected
FGSM,0.1,38.6,78.89,82.67,61.4,21.11,17.33,✅ Protected
FGSM,0.2,2.57,75.57,82.43,97.43,24.43,17.57,✅ Protected
PGD,0.01,89.44,82.18,87.19,10.56,17.82,12.81,✅ Protected
PGD,0.05,68.32,79.2,81.33,31.68,20.8,18.67,✅ Protected
PGD,0.1,34.92,71.59,66.15,65.08,28.41,33.85,✅ Protected
PGD,0.2,3.26,62.59,66.09,96.74,37.41,33.91,✅ Protected
